genre_id,name
1,Action
2,Adventure
3,Avant Garde
4,Award Winning
5,Boys Love
6,Comedy
7,Drama
20,Ecchi
21,Erotica
8,Fantasy
9,Girls Love
10,Gourmet
22,Hentai
11,Horror
12,Mystery
13,Romance
14,Sci-Fi
19,Seinen
15,Slice of Life
16,Sports
17,Supernatural
18,Suspense
