ID,TITLE,OVERAL RANK,MEAN SCORE
52741,Undead Unluck,1199,7.75
52816,Majo to Yajuu,2261,7.44
52985,Dekoboko Majo no Oyako Jijou,5710,6.76
52990,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",5655,6.76
53065,Sono Bisque Doll wa Koi wo Suru Season 2,241,8.36
53128,Atri: My Dear Moments,3430,7.2
53300,Ojou to Banken-kun,11854,5.67
53397,Tsuyokute New Saga,6657,6.6
53410,Yuru Camp△ Season 3,662,8.02
53421,Dosanko Gal wa Namara Menkoi,4305,7.04
53434,"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",2942,7.29
38853,Ex-Arm,14278,2.88
10087,Fate/Zero,323,8.27
35968,Wotaku ni Koi wa Muzukashii,821,7.92
40748,Jujutsu Kaisen,133,8.54
41069,AAside,,5.79
47917,Bocchi the Rock!,47,8.74
53446,Tondemo Skill de Isekai Hourou Meshi,1497,7.64
59160,Wind Breaker Season 2,1491,7.65
59845,Kaoru Hana wa Rin to Saku,61,8.7
60543,Dandadan 2nd Season,122,8.55
1210,NHK ni Youkoso!,286,8.31
2605,Sayonara Zetsubou Sensei,976,7.84
7785,Yojouhan Shinwa Taikei,129,8.55
19703,Kyousou Giga (TV),1357,7.69
49387,Vinland Saga Season 2,33,8.82
9253,Steins;Gate,3,9.07
39196,Mairimashita! Iruma-kun,1229,7.74
46095,Vivy: Fluorite Eye's Song,224,8.38
47194,Summertime Render,158,8.47
48414,Sabikui Bisco,3816,7.14
50185,Ryman's Club,2677,7.34
52193,Akiba Meido Sensou,1701,7.58
53447,Tu Bian Yingxiong X,159,8.47
54301,Overtake!,2091,7.48
54714,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,1340,7.7
54790,Undead Girl Murder Farce,958,7.85
55528,Yuuki Bakuhatsu Bang Bravern,1876,7.54
55887,"Kekkon suru tte, Hontou desu ka",3887,7.12
58390,Yofukashi no Uta Season 2,279,8.32
58812,Shin Samurai-den Yaiba,3301,7.23
58913,Hikaru ga Shinda Natsu,479,8.15
59267,Sanda,,
38192,Sakugan,7197,6.51
41025,Fumetsu no Anata e,260,8.34
48316,Kage no Jitsuryokusha ni Naritakute!,362,8.24
48981,Mahou Shoujo Magical Destroyers,8748,6.25
49040,Lupin III: Part 6,3380,7.21
52211,Mashle,1565,7.62
53613,Dead Mount Death Play,3103,7.26
54853,Maou 2099,2308,7.43
