USER_ID,ANIME ID,USER RANK
1,37171,1
1,16742,2
1,934,3
1,1,4
1,51122,5
2,50002,1
2,50184,2
2,50197,3
2,50220,4
2,50307,5
2,50416,6
2,50583,7
2,50739,8
2,50796,9
2,51009,10
2,51020,11
2,51105,12
2,51219,13
2,51297,14
2,51458,15
2,51498,16
2,51552,17
2,51614,18
2,51705,19
2,51764,20
2,51794,21
2,51815,22
2,51916,23
2,51958,24
2,52081,25
2,52082,26
2,52173,27
2,52214,28
2,52305,29
2,52308,30
2,52359,31
2,52505,32
2,52578,33
2,52611,34
2,52701,35
2,52830,36
2,52934,37
2,52962,38
2,52969,39
2,52973,40
2,53012,41
2,53026,42
2,53033,43
2,53126,44
2,53263,45
2,53379,46
2,53621,47
2,53632,48
2,53633,49
2,53770,50
2,53865,51
2,54103,52
2,54234,53
2,54259,54
2,54431,55
2,54492,56
2,54744,57
2,54760,58
2,54852,59
2,54856,60
2,55071,61
2,55651,62
2,55894,63
2,56228,64
2,56230,65
2,56838,66
2,56843,67
2,57181,68
2,57559,69
2,57891,70
2,58080,71
2,58172,72
2,58511,73
2,59505,74
2,60489,75
2,49778,76
2,49818,77
2,50306,78
2,50694,79
2,50695,80
2,50803,81
2,51461,82
2,52080,83
2,52215,84
2,52347,85
2,52367,86
2,52481,87
2,52588,88
2,52709,89
2,52741,90
2,52816,91
2,52985,92
2,52990,93
2,53065,94
2,53128,95
2,53300,96
2,53397,97
2,53410,98
2,53421,99
2,53434,100
4,38853,1
4,10087,2
4,35968,3
4,40748,4
4,41069,5
4,47917,6
4,53446,7
4,57181,8
4,59160,9
4,59845,10
4,60543,11
3,1210,1
3,2605,2
3,7785,3
3,19703,4
3,49387,5
3,51122,6
3,51461,7
3,9253,8
3,39196,9
3,46095,10
3,47194,11
3,48414,12
3,50185,13
3,51458,14
3,52193,15
3,52741,16
3,53447,17
3,53770,18
3,54301,19
3,54714,20
3,54790,21
3,55528,22
3,55887,23
3,57181,24
3,58390,25
3,58812,26
3,58913,27
3,59267,28
3,38192,29
3,41025,30
3,48316,31
3,48981,32
3,49040,33
3,52211,34
3,52347,35
3,53613,36
3,54853,37
3,56964,38
3,58600,39
3,59062,40
3,59205,41
3,59597,42
3,40833,43
3,40908,44
3,41457,45
3,46569,46
3,48556,47
3,21,48
3,66,49
3,237,50
3,263,51
3,306,52
3,324,53
3,329,54
3,1048,55
3,1453,56
3,2164,57
3,2246,58
3,4981,59
3,9941,60
3,21939,61
3,35249,62
3,35737,63
3,42192,64
3,49052,65
3,53199,66
3,53720,67
3,58883,68
3,58939,69
3,59636,70
7,21,1
7,2039,2
7,2389,3
7,103,4
7,2938,5
7,1486,6
7,949,7
9,52299,1
9,54437,2
9,55701,3
9,59062,4
9,60697,5
9,51009,6
9,51818,7
9,53447,8
9,54789,9
9,54869,10
9,58811,11
9,58913,12
9,59177,13
9,60732,14
5,52991,1
5,54856,2
5,55866,3
5,60988,4
5,269,5
5,55791,6
5,58514,7
5,31741,8
5,55742,9
5,57181,10
5,54869,11
5,57533,12
5,56964,13
5,37430,14
5,170,15
5,387,16
5,392,17
5,457,18
5,2025,19
5,2159,20
5,2251,21
5,7674,22
5,10721,23
5,14813,24
5,16918,25
5,21603,26
5,21743,27
5,22789,28
5,25839,29
5,28999,30
5,30230,31
5,32948,32
5,33018,33
5,33337,34
5,36864,35
5,37259,36
5,37965,37
5,38080,38
5,44074,39
5,49785,40
5,50796,41
5,52173,42
5,52701,43
5,53865,44
5,53912,45
5,54724,46
5,54865,47
5,54900,48
5,55813,49
5,55998,50
5,56038,51
5,56285,52
5,56420,53
5,56647,54
5,56843,55
5,57031,56
5,57334,57
5,57554,58
5,57796,59
5,57947,60
5,58059,61
5,58600,62
5,58811,63
5,58812,64
5,59160,65
5,59361,66
5,59597,67
5,60083,68
5,60146,69
8,40956,1
8,53065,2
8,58390,3
8,58812,4
8,59177,5
8,59597,6
8,59898,7
8,60285,8
8,60543,9
11,21,1
11,235,2
11,1425,3
11,58390,4
11,58812,5
11,59597,6
11,56038,7
11,58939,8
11,59062,9
11,59342,10
11,59898,11
11,60543,12
12,59207,1
12,604,2
12,53065,3
12,59845,4
12,60543,5
12,61322,6
13,21,1
13,30,2
13,53065,3
13,57433,4
13,58390,5
13,58811,6
13,58913,7
13,59062,8
13,59177,9
13,59205,10
13,59342,11
13,60543,12
14,5041,1
14,53512,2
10,235,1
10,58913,2
10,49778,3
10,55830,4
10,54865,5
10,56647,6
10,57181,7
10,57554,8
10,57635,9
10,58514,10
10,59189,11
10,51870,12
10,62373,13
10,243,14
10,365,15
10,437,16
10,553,17
10,622,18
10,752,19
10,850,20
10,1019,21
10,1216,22
10,1217,23
10,1637,24
10,1640,25
